-41.625,38.25,7.9653
42.525,38.25,7.9653
-52.754,14.487,-1.1212
53.654,14.487,-1.1212
-58.95,-46.35,-19.485
59.85,-46.35,-19.485
-21,10.575,-23.16
21.9,10.575,-23.16
-11.88,-1.5749,5.2203
12.78,-1.5749,5.2203
-27.9,-40.275,44.64
28.8,-40.275,44.64
-49,-43.175,32.74
49.9,-43.175,32.74
-26.758,-27.917,36.16
27.658,-27.917,36.16
-11.373,-24.566,28.522
12.273,-24.566,28.522
-30.007,53.769,31.237
30.907,53.769,31.237
-63.324,-2.9069,3.2763
64.224,-2.9069,3.2763
-68.85,-36.495,-0.98971
69.75,-36.495,-0.98971
-54.9,-20.925,-15.66
55.8,-20.925,-15.66
-12.544,59.4,46.215
13.444,59.4,46.215
-11.7,87.225,33.84
12.6,87.225,33.84
-61.971,-75.375,34.483
62.871,-75.375,34.483
-20.727,-110.75,17.94
21.627,-110.75,17.94
-8.5442,-28.236,-24.543
9.4441,-28.236,-24.543
-3.8842,-58.417,-14.428
4.7842,-58.417,-14.428
-69.218,-55.166,-8.787
70.118,-55.166,-8.787
-34.574,-32.175,61.486
35.474,-32.175,61.486
-27.405,-47.295,67.995
28.305,-47.295,67.995
-14.361,-122.33,32.04
15.261,-122.33,32.04
-42,44.625,34.04
42.9,44.625,34.04
-31.2,-64.768,36.883
32.1,-64.768,36.883
-57.6,-43.425,50.49
58.5,-43.425,50.49
-5.4,-65.025,17.64
6.3,-65.025,17.64
-47.06,-82.415,21.7
47.96,-82.415,21.7
-64.688,-17.855,-6.7883
65.587,-17.855,-6.7883
-11.16,44.745,29.22
12.06,44.745,29.22
-5.4,-40.275,24.39
6.3,-40.275,24.39
-71.865,-49.23,22.905
72.765,-49.23,22.905
-8.2607,34.907,43.355
9.1607,34.907,43.355
-26.1,26.325,55.44
27,26.325,55.44
-55.2,-12.075,40.74
56.1,-12.075,40.74
-49.685,22.143,33.47
50.585,22.143,33.47
-40.8,8.0251,51.926
41.7,8.0251,51.926
-30.6,-14.175,64.44
31.5,-14.175,64.44
-50.4,31.725,27.54
51.3,31.725,27.54
-35.363,-21.787,51.878
36.262,-21.787,51.878
-57.9,6.7741,26.182
58.8,6.7741,26.182
-43.2,-63.525,53.79
44.1,-63.525,53.79
-9.6107,-53.1,63.797
10.511,-53.1,63.797
-9.324,-62.415,48.492
10.224,-62.415,48.492
-69.557,-35.646,5.9403
70.457,-35.646,5.9403
-6.4059,17.06,38.181
7.3058,17.06,38.181
-10.8,55.125,36.99
11.7,55.125,36.99
-65.864,-11.148,13.386
66.764,-11.148,13.386
-26.626,10.465,23.278
27.526,10.465,23.278
-15.48,-54.855,-12.24
16.38,-54.855,-12.24
-8.82,-65.655,41.4
9.72,-65.655,41.4
-45.45,-36.675,0.99029
46.35,-36.675,0.99029
-18.049,55.539,4.6997
18.949,55.539,4.6997
-1.98,11.745,-7.1997
2.88,11.745,-7.1997
-5.0318,-2.1886,1.0312
5.9318,-2.1886,1.0312
